brandName,modelName,bodyStyleName,cylinderCapacityValue,enginePowerValue,mileageValue,accident,age,sellingPrice
BMW,420 Cabrio,Cabriolet,1995,135,27900,0, 2.58 ,39900
Dacia,Sandero,Berline,1461,50,162643,0, 8.42 ,4650
Peugeot,308,Berline,1560,73,4033,0, 0.63 ,18900
BMW,X3,4x4,1995,100,60260,0, 4.16 ,25850
Renault,Clio Grandtour,Break,1461,55,120949,0, 6.67 ,6250
Toyota,Auris,Berline,1798,73,89950,0, 6.25 ,11998
BMW,518 Touring,Break,1995,100,41365,0, 2.74 ,28990
Audi,A3,Berline,1968,110,87975,0, 4.67 ,15990
Volkswagen,Touran,Monovolume/Camionnette,1598,77,137000,0, 6.42 ,10450
Mercedes-Benz,B 180,Monovolume/Camionnette,1461,80,56092,0, 2.74 ,19900
Volvo,V40,Berline,1560,84,67000,0, 3.74 ,13500
Citroen,Jumper,Van,2200,96,157000,0, 6.42 ,9920
Audi,A3,Berline,1598,81,15000,0, 0.91 ,31995
Renault,Trafic,Van,2000,66,110538,0, 5.83 ,8650
Audi,Q5,4x4,1968,120,54500,0, 4.58 ,31950
Toyota,Yaris,Compacte,998,51,38600,0, 3.48 ,9200
Peugeot,2008,4x4,1560,55,10000,0, 1.24 ,13900
Seat,Ibiza,Berline,1422,59,96000,0, 8.16 ,5500
Citroen,Berlingo,Monovolume/Camionnette,1560,73,39000,0, 2.33 ,12990
BMW,520 Touring,Break,1995,135,97800,0, 5.41 ,23495
Peugeot,308,Compacte,1560,68,117429,0, 5.54 ,8490
Toyota,Aygo,Berline,1398,40,125000,0, 9.50 ,3699
Dacia,Lodgy,Monovolume/Camionnette,1198,85,96761,0, 3.83 ,9800
Volkswagen,Caddy,Monovolume/Camionnette,1600,75,27000,0, 2.05 ,13920
Audi,A4,Break,1968,120,1744,0, 0.74 ,39999
BMW,116 5-TÍ_rer,Berline,1995,85,134000,0, 7.42 ,7950
Nissan,Qashqai,4x4,1598,96,60030,0, 2.16 ,19900
Audi,A5,Cabriolet,1798,118,92400,0, 6.50 ,19750
Peugeot,508,Berline,1560,85,45280,0, 0.99 ,19990
Audi,A1,Berline,1598,77,44543,0, 3.16 ,15490
Volkswagen,Golf Cabriolet,Cabriolet,1390,90,82305,0, 5.41 ,16700
Peugeot,208,Compacte,1199,60,44195,0, 5.17 ,5945
BMW,520 Touring,Break,1995,140,20000,0, 1.41 ,49899
Volvo,V60,Break,1969,88,12500,0, 0.66 ,25450
BMW,520 Touring,Break,1995,135,79000,0, 7.16 ,19999
Mercedes-Benz,GLA 200,4x4,2143,100,90000,0, 3.67 ,20400
Opel,Astra GTC,Coupe,1364,88,18188,0, 2.25 ,15900
Volkswagen,Golf,Berline,1598,77,52787,0, 3.58 ,14900
Renault,Clio,Berline,1461,55,66500,0, 4.74 ,6999
BMW,X3,4x4,1995,110,159000,0, 12.75 ,6490
Dacia,Duster,4x4,1461,66,15000,0, 2.29 ,13749
Volkswagen,Jetta,Berline,1598,77,90000,0, 6.42 ,12900
Volvo,S60,Berline,1498,112,110,0, 0.02 ,33500
Peugeot,2008,4x4,1560,73,12000,0, 0.82 ,17800
Mercedes-Benz,GLA 200,4x4,2143,100,30000,0, 2.83 ,24950
Porsche,Targa911 (991) 4S PDK,Coupe,2981,309,12422,0, 1.66 ,143900
Volkswagen,Golf,Berline,1598,77,91800,0, 3.91 ,14450
Audi,A3,Berline,1968,110,34490,0, 2.09 ,25950
Volkswagen,Polo,Berline,1199,55,86361,0, 4.50 ,8790
Peugeot,Expert,Van,1997,90,24000,0, 1.08 ,19358
Mercedes-Benz,E 220,Cabriolet,2143,125,63000,0, 6.58 ,23450
BMW,740 Limousine,Berline,2993,225,167000,0, 5.67 ,29950
Porsche,Panamera,Berline,2967,184,155000,0, 5.92 ,39900
Suzuki,Baleno,Berline,1242,66,15951,0, 1.16 ,12995
Peugeot,308,Compacte,1560,85,15000,0, 1.74 ,16989
Porsche,Macan,4x4,2967,190,32500,0, 3.33 ,59900
Land Rover,Range Rover Sport,4x4,2993,190,900,0, 0.56 ,78900
Audi,A4,Break,1968,140,22500,0, 1.66 ,34990
Citroen,C2,Compacte,1398,49,116000,0, 8.42 ,5900
Renault,Clio,Berline,1461,66,79900,0, 4.41 ,8500
Seat,Ibiza,Berline,999,55,8500,0, 0.99 ,9990
Peugeot,5008,Monovolume/Camionnette,1560,82,132209,0, 6.75 ,9900
Renault,Megane,Berline,1598,96,27000,0, 0.82 ,19950
BMW,316 Touring,Break,1995,85,27889,0, 2.50 ,21480
Hyundai,ix35,4x4,1591,100,50000,0, 4.67 ,12990
Volkswagen,Beetle,Berline,1598,77,116600,0, 5.41 ,12900
Volvo,V40,Berline,1498,90,16500,0, 0.66 ,19850
MINI,John Cooper Works,Cabriolet,1496,85,4085,0, 1.16 ,26500
Peugeot,3008,Compacte,1560,84,56200,0, 2.50 ,16490
Peugeot,108,Compacte,998,51,15000,0, 0.64 ,10590
Toyota,Yaris,Compacte,1497,54,3200,0, 0.50 ,21000
Toyota,Land Cruiser,4x4,4200,75,86000,0, 11.42 ,15900
Peugeot,108,Compacte,1199,60,16729,0, 2.12 ,8900
Audi,TT,Cabriolet,1968,135,1000,0, 0.74 ,39999
Mercedes-Benz,C 43 AMG,Break,2996,270,8600,0, 0.91 ,57900
Volkswagen,Golf,Berline,1598,77,61204,0, 4.16 ,13900
Ford,Fiesta,Compacte,999,59,106434,0, 4.33 ,6990
Opel,Combo,Van,1248,66,97000,0, 4.67 ,6200
Peugeot,308 SW,Break,1199,96,4999,0, 0.15 ,20500
Volkswagen,Caddy,Monovolume/Camionnette,1197,77,81287,0, 4.41 ,14950
Citroen,C3,Berline,1124,44,112000,0, 10.17 ,2990
Opel,Corsa,Berline,1229,59,100386,0, 7.83 ,4999
Ford,Focus,Break,1499,70,58700,0, 2.16 ,13495
Volkswagen,Golf,Berline,1598,81,26000,0, 1.74 ,15950
Audi,A5,Coupe,2698,140,200000,0, 9.25 ,11999
Volkswagen,Polo,Berline,1598,66,95000,0, 7.42 ,6450
Peugeot,108,Berline,998,51,12000,0, 2.83 ,6950
Peugeot,308,Berline,1560,85,55000,0, 3.91 ,13650
Kia,Niro,4x4,1580,77,23500,0, 0.82 ,27740
Peugeot,Expert,Van,1997,90,10000,0, 0.33 ,18000
BMW,M5 Touring,Break,2993,280,92500,0, 4.83 ,39990
Ford,Ka,Compacte,1242,51,74000,0, 7.83 ,5990
Volkswagen,Golf,Berline,1197,63,28797,0, 3.41 ,16690
Alfa Romeo,147,Berline,1910,92,189000,0, 13.42 ,3990
Toyota,Corolla,Berline,1329,74,68963,0, 7.50 ,7900
Seat,Leon,Berline,1598,66,49500,0, 2.33 ,13950
Hyundai,Tucson,4x4,1991,82,170000,0, 11.92 ,3800
BMW,M3 Cabrio,Cabriolet,3246,252,114000,0, 14.17 ,23995
Mazda,CX-5,4x4,1998,120,27380,0, 1.58 ,24721
Audi,A4,Berline,1986,100,109000,0, 5.75 ,16900
BMW,520 Touring,Break,1995,120,202000,0, 8.00 ,8300
Audi,A4,Break,1968,130,92162,0, 4.33 ,17900
Ford,Kuga,4x4,1997,100,100000,0, 6.83 ,10800
Volvo,XC90,4x4,1969,173,22000,0, 1.08 ,51994
Mercedes-Benz,280SL '82,Cabriolet,2746,185,154765,0, 35.85 ,24950
Opel,KARL,Berline,999,55,10288,0, 0.82 ,10300
Hyundai,ix20,Berline,1400,66,53027,0, 4.67 ,9473
Peugeot,308,Compacte,1560,85,9880,0, 1.18 ,18470
Citroen,Berlingo,Van,1560,68,39000,0, 5.08 ,9990
Dodge,RAM,4x4,4700,173,65000,0, 13.34 ,12950
Volkswagen,up!,Compacte,999,44,13700,0, 1.74 ,7700
Skoda,Yeti,4x4,1197,77,19429,0, 2.67 ,15990
Mercedes-Benz,C 200,Break,2143,100,75238,0, 5.62 ,14749
Skoda,Octavia,Berline,1896,77,56351,0, 8.00 ,7890
Skoda,Octavia Combi,Break,1395,110,37495,0, 1.50 ,18999
Volkswagen,Eos,Cabriolet,1968,103,169000,0, 8.08 ,8990
Audi,A1,Berline,1422,66,21000,0, 1.08 ,18990
Volkswagen,Polo,Berline,1422,55,26014,0, 1.24 ,14950
Suzuki,Swift,Compacte,1242,69,17580,0, 1.24 ,9950
Volvo,S60,Berline,1560,84,99900,0, 3.83 ,15990
Fiat,500,Berline,1242,51,92000,0, 6.00 ,6900
Renault,Laguna,Berline,1461,81,143885,0, 8.67 ,5990
Land Rover,Defender,4x4,2495,90,245000,0, 14.17 ,12500
Nissan,Qashqai,4x4,1598,86,87000,0, 3.99 ,14995
Volkswagen,Tiguan,4x4,1968,110,22171,0, 1.08 ,29990
Mercedes-Benz,B 220,Monovolume/Camionnette,1991,135,65787,0, 3.58 ,19500
Opel,Corsa,Berline,1229,63,23795,0, 3.08 ,8900
Citroen,C4 Cactus,4x4,1560,73,15352,0, 1.49 ,16106
BMW,X1,4x4,1995,85,88000,0, 4.33 ,15900
Peugeot,508,Berline,1560,85,14800,0, 1.83 ,21890
Audi,A4,Break,1968,100,52000,0, 1.83 ,27490
Volkswagen,Tiguan,4x4,1968,81,82113,0, 3.58 ,19800
Skoda,Kodiaq,4x4,1395,110,13000,0, 0.58 ,38950
Audi,Q5,4x4,1968,120,4600,0, 0.41 ,42880
Fiat,500C,Cabriolet,1242,51,56184,0, 3.16 ,9500
Peugeot,308 SW,Break,1560,85,8821,0, 1.08 ,20438
Volkswagen,Passat Variant,Break,1968,110,15000,0, 0.58 ,33900
Peugeot,Partner Tepee,Break,1560,73,3500,0, 0.91 ,14750
Opel,Meriva,Monovolume/Camionnette,1248,55,86000,0, 7.75 ,6990
Audi,A5,Coupe,1798,130,19000,0, 1.58 ,30500
Aston Martin,Vantage,Cabriolet,4300,283,48000,0, 9.50 ,61890
Volvo,V40,Break,1969,88,25841,0, 1.22 ,18450
Volvo,V40 Cross Country,Berline,1969,140,39000,0, 2.58 ,23490
Volkswagen,Golf,Berline,1395,92,14000,0, 1.99 ,21387
Volkswagen,Passat Variant,Break,1968,110,33263,0, 1.50 ,30999
Renault,Clio Grandtour,Berline,1461,66,18400,0, 1.50 ,12900
Skoda,Fabia,Break,1199,55,60000,0, 5.92 ,7900
Skoda,Superb,Break,1598,77,75331,0, 5.58 ,12650
Renault,Kangoo,Monovolume/Camionnette,1461,66,89000,0, 5.67 ,7950
Audi,A6,Break,1968,100,124000,0, 5.16 ,22490
Audi,A1,Compacte,1598,66,81500,0, 5.16 ,11950
Mercedes-Benz,S 320,Berline,3222,150,475250,0, 12.67 ,4500
Audi,Q5,4x4,1968,125,96500,0, 7.42 ,20900
Fiat,Grande Punto,Berline,1248,66,159800,0, 11.50 ,3200
Audi,A4,Berline,1968,100,176000,0, 6.83 ,11500
Ford,Ka,Berline,1242,51,69000,0, 8.83 ,4290
Nissan,Micra,Berline,1500,59,139000,0, 12.59 ,2990
BMW,520 Touring,Break,1995,120,219000,0, 9.16 ,7490
Volkswagen,T2a Savanna '70,Roadster,1584,37,50000,0, 47.86 ,28950
Peugeot,208,Compacte,1560,88,22166,0, 1.52 ,14590
Mercedes-Benz,E 220,Berline,1950,143,26000,0, 1.41 ,49865
Opel,Zafira,Monovolume/Camionnette,1995,74,162000,0, 12.67 ,2950
Mercedes-Benz,E 200,Berline,2143,100,84946,0, 6.42 ,16990
Suzuki,SX4,4x4,1560,66,131000,0, 9.08 ,4800
Volkswagen,Golf,Compacte,1896,66,159886,0, 11.42 ,5999
Citroen,DS3,Berline,1598,110,92000,0, 6.57 ,9990
Peugeot,208,Berline,1199,60,333,0, 0.83 ,12920
Peugeot,508,Berline,1560,84,67525,0, 3.67 ,13850
Peugeot,Partner Tepee,Monovolume/Camionnette,1560,68,109000,0, 5.41 ,8799
Opel,Astra Sports Tourer,Break,1598,81,9200,0, 0.50 ,23900
Toyota,Land Cruiser,4x4,2982,140,98000,0, 5.83 ,33995
Peugeot,108,Compacte,998,51,11200,0, 1.78 ,8900
Volvo,XC60,4x4,2400,140,27000,0, 0.99 ,36990
Mercedes-Benz,C 220,Berline,1461,80,26951,0, 1.39 ,21750
Mercedes-Benz,B 180,Monovolume/Camionnette,1796,80,89000,0, 5.08 ,14950
Volvo,V40,Compacte,1969,90,2000,0, 1.99 ,20950
Volkswagen,Golf,Berline,1390,66,103000,0, 13.00 ,5400
Nissan,Qashqai,4x4,1461,81,73655,0, 2.74 ,17495
Ford,Fiesta,Berline,1596,134,26934,0, 1.66 ,17250
MINI,John Cooper Works Cabrio,Cabriolet,1598,155,50000,0, 3.33 ,22490
Skoda,Superb,Break,1968,110,23965,0, 0.58 ,31500
Renault,Kangoo,Van,1461,50,67480,0, 6.16 ,3950
Volkswagen,Touran,Monovolume/Camionnette,1598,77,23550,0, 2.58 ,19495
Renault,Megane,Berline,1461,70,21200,0, 1.41 ,15949
Mercedes-Benz,Sprinter,Van,2148,80,108000,0, 10.75 ,12500
Volvo,V40,Break,1969,88,19185,0, 1.39 ,18950
Citroen,C4 Picasso,Monovolume/Camionnette,1598,88,43500,0, 3.58 ,12000
Opel,Zafira,Monovolume/Camionnette,1686,81,49000,0, 5.67 ,9488
Volvo,XC60,4x4,1984,100,64000,0, 3.74 ,24695
Bentley,Mulsanne Turbo '86,Roadster,6750,242,95724,0, 31.85 ,24950
Dodge,RAM,4x4,5654,295,45500,0, 1.83 ,51900
Mercedes-Benz,C 63 AMG,Van,6208,336,52150,0, 8.75 ,34990
Lancia,Phedra,Monovolume/Camionnette,1997,100,154000,0, 9.67 ,3300
Mercedes-Benz,A 180,Berline,1595,90,25000,0, 0.66 ,23250
Ford,C-MAX,Monovolume/Camionnette,1560,70,148000,0, 6.00 ,7990
Audi,A3,Berline,1896,77,224000,0, 10.08 ,7990
Audi,A6 Allroad,Break,2967,160,20000,0, 1.24 ,56990
Ford,Ka,Compacte,1299,44,61100,0, 10.34 ,2900
Volkswagen,Golf,Berline,1598,77,54835,0, 4.16 ,13900
Jaguar,X-Type,Berline,1998,96,131250,0, 13.67 ,8950
Citroen,Berlingo,Monovolume/Camionnette,1560,68,101000,0, 3.08 ,9900
Skoda,Yeti,4x4,1598,77,10702,0, 2.91 ,16900
Kia,Sportage,4x4,1685,85,64000,0, 5.25 ,14980
Porsche,997,Coupe,3614,254,49550,0, 8.42 ,61900
Opel,Mokka,4x4,1598,85,1383,0, 1.50 ,14490
Peugeot,Partner,Van,1560,66,460000,0, 4.50 ,3700
Ford,Focus,Berline,1560,66,200000,0, 12.42 ,2990
Hyundai,ix35,4x4,1685,85,71900,0, 6.53 ,10990
Opel,Corsa,Compacte,1229,63,98000,0, 4.83 ,7200
BMW,X1,4x4,1995,100,135000,0, 7.58 ,12500
Mazda,B 2500,Van,2500,80,206939,0, 12.83 ,5990
Honda,Civic,Compacte,1396,66,175000,0, 14.25 ,2400
Ford,Focus,Berline,1753,85,225000,0, 10.83 ,2900
Volvo,V60,Break,1560,84,134000,0, 4.74 ,12500
Opel,Insignia,Break,1956,103,19806,0, 2.08 ,23350
Audi,A3,Berline,999,85,15600,0, 0.82 ,25499
Mercedes-Benz,A 180,Monovolume/Camionnette,1991,80,67800,0, 8.00 ,11500
Seat,Ibiza,Berline,1199,55,76500,0, 6.16 ,7250
Alfa Romeo,MiTo,Berline,1368,58,85855,0, 4.58 ,8490
Peugeot,5008,Monovolume/Camionnette,1560,82,84000,0, 6.42 ,10895
Peugeot,308,Compacte,1560,85,84400,0, 3.08 ,13500
Citroen,C4,Berline,1560,73,12000,0, 1.24 ,15290
Opel,Astra,Cabriolet,1686,65,254000,0, 11.99 ,2950
Audi,A4,Break,1968,110,8700,0, 0.41 ,41900
Peugeot,508,Berline,1560,84,22580,0, 2.91 ,18890
Suzuki,Baleno,Berline,998,82,1580,0, 0.16 ,15999
Audi,A4 Allroad,Break,1968,140,19950,0, 1.16 ,51900
Audi,A3,Berline,1598,77,87150,0, 5.50 ,12900
Peugeot,3008,Compacte,1560,85,13011,0, 0.99 ,27500
Volkswagen,CRAFTER 32 FOURGON MWB DSL,Van,2461,80,70600,0, 8.25 ,13500
Mercedes-Benz,S 350,Berline,2987,155,149000,0, 7.00 ,21900
Hyundai,Matrix,Monovolume/Camionnette,1493,81,82000,0, 11.25 ,3500
Opel,Meriva,Berline,1686,81,148676,0, 7.08 ,7250
Dacia,Duster,4x4,1598,77,87069,0, 6.67 ,8900
Volkswagen,Passat,Berline,1598,88,40000,0, 1.83 ,22900
Peugeot,Partner Tepee,Monovolume/Camionnette,1560,74,23328,0, 2.08 ,12750
Opel,Mokka,4x4,1598,100,748,0, 1.24 ,18490
Audi,A3,Berline,1395,92,13900,0, 1.66 ,24500
Volkswagen,Tiguan,4x4,1390,90,36000,0, 2.83 ,19990
Audi,TT,Cabriolet,1968,135,11500,0, 1.58 ,33950
Volvo,XC60,4x4,1969,110,1015,0, 0.82 ,35500
Renault,Alpine V6,Coupe,2849,118,120000,0, 31.35 ,23500
Peugeot,308 SW,Break,1560,85,38683,0, 2.13 ,16500
MINI,John Cooper Works,Berline,1499,100,8381,0, 2.41 ,23900
Peugeot,206,Berline,1361,54,67000,0, 6.67 ,4850
BMW,X3,4x4,1995,120,80000,0, 3.67 ,29490
Ferrari,458,Coupe,4499,420,17500,0, 6.67 ,165000
Opel,Astra,Compacte,1364,103,11000,0, 6.42 ,10450
Audi,Q5,4x4,1968,120,7000,0, 0.33 ,47900
BMW,320 Touring,Break,1995,121,4414,0, 1.50 ,32495
Peugeot,5008,Monovolume/Camionnette,1560,85,39162,0, 1.38 ,19800
Seat,Toledo,Compacte,1197,63,41000,0, 4.02 ,8950
Volkswagen,Arteon,Berline,1968,110,6500,0, 0.33 ,47500
Opel,Insignia,Berline,1956,96,137000,0, 7.25 ,8990
Porsche,993,Coupe,3600,210,81000,0, 23.28 ,64900
Land Rover,Discovery Sport,4x4,2179,110,59800,0, 2.41 ,29990
Land Rover,Range Rover Evoque,4x4,2179,110,100000,0, 5.58 ,23995
Nissan,X-Trail,4x4,1598,96,49000,0, 3.08 ,23900
Peugeot,308 SW,Break,1560,85,333,0, 0.74 ,21135
Fiat,Freemont,Monovolume/Camionnette,1956,100,93467,0, 5.75 ,12950
Mercedes-Benz,CLA 180,Berline,1461,80,27000,0, 2.50 ,24490
Opel,Astra,Break,1248,66,149000,0, 10.08 ,6999
Audi,A6,Break,1968,100,16778,0, 4.08 ,32499
Peugeot,1007,Monovolume/Camionnette,1360,54,129000,0, 11.08 ,3490
BMW,116 5-TÍ_rer,Berline,1995,85,199000,0, 7.33 ,6500
Volkswagen,Tiguan,4x4,1968,110,5000,0, 0.58 ,36500
Audi,A1,Berline,1598,66,124000,0, 4.25 ,10999
Ford,Fiesta,Berline,1399,50,179000,0, 13.59 ,3875
Audi,Touran,Break,2967,176,136000,0, 8.33 ,18950
Volvo,V40,Break,1969,88,14290,0, 2.33 ,18900
Citroen,C4,Berline,1598,88,106094,0, 7.58 ,5750
Dacia,Duster,4x4,1461,79,95000,0, 3.33 ,11800
Citroen,C3,Berline,1124,44,51018,0, 9.67 ,4500
Audi,A4,Berline,1968,100,69500,0, 3.41 ,22450
Opel,Meriva,Monovolume/Camionnette,1686,81,55850,0, 3.16 ,12940
Volkswagen,Polo,Berline,1198,44,62725,0, 5.67 ,8350
BMW,320 Touring,Break,1995,120,49500,0, 1.83 ,24500
Fiat,Fiorino,Berline,1248,55,127650,0, 7.67 ,5500
Peugeot,3008,Compacte,1560,84,32000,0, 3.33 ,15900
Citroen,C3,Berline,1124,44,88000,0, 12.08 ,2600
Renault,Clio,Berline,1461,55,81960,0, 4.11 ,8400
Peugeot,308,Compacte,1560,85,17777,0, 1.24 ,17777
Audi,A5,Berline,1968,105,148000,0, 4.33 ,17750
Mitsubishi,ASX,4x4,1798,85,92685,0, 7.08 ,10500
Peugeot,508 SW,Break,1997,132,25680,0, 1.39 ,32499
Peugeot,508,Berline,1997,133,27000,0, 2.50 ,17800
Renault,Twingo,Compacte,1149,55,22793,0, 4.50 ,6200
Audi,Q2,4x4,1598,85,9100,0, 0.33 ,25995
Mitsubishi,Colt,Berline,1332,70,82500,0, 8.08 ,4950
Toyota,iQ,Berline,998,50,50274,0, 7.42 ,5990
Opel,Mokka,4x4,1598,81,12500,0, 0.82 ,19990
Volkswagen,up!,Berline,999,44,25500,0, 4.08 ,8200
Mercedes-Benz,E 350,Coupe,2987,170,187504,0, 8.25 ,16500
Opel,Corsa,Berline,1229,51,25591,0, 0.99 ,9999
Peugeot,308 SW,Break,1560,73,27000,0, 2.33 ,17399
BMW,318 Touring,Break,1995,101,56016,0, 2.41 ,24995
Opel,Astra,Break,999,77,12000,0, 0.66 ,18999
Mercedes-Benz,A 180,Berline,1461,80,67527,0, 4.58 ,16500
MINI,Cooper,Berline,1499,100,25828,0, 2.99 ,15900
Volkswagen,Golf GTD,Berline,1968,125,90000,0, 4.99 ,17250
BMW,530 Limousine,Berline,2993,195,5100,0, 0.82 ,71500
BMW,X5,4x4,2993,155,200000,0, 10.34 ,13999
Renault,Megane,Berline,1197,85,36422,0, 2.91 ,12900
Alfa Romeo,Giulietta,Berline,1368,88,1303,0, 2.08 ,19900
Peugeot,2008,4x4,1560,74,40400,0, 2.41 ,11900
Nissan,Cabstar,Van,2500,96,139000,0, 10.42 ,6500
Audi,A6,Break,1968,121,118042,0, 4.33 ,18995
Opel,Astra,Berline,1399,92,17429,0, 1.50 ,16500
Volkswagen,Jetta,Berline,1598,77,173000,0, 5.67 ,7900
Chevrolet,Spark,Berline,995,50,90000,0, 7.33 ,3990
Ford,Fiesta,Berline,1560,70,129000,0, 6.33 ,6990
Mercedes-Benz,E 200,Break,2143,100,125000,0, 4.58 ,17250
Ford,Transit,Van,2200,85,164000,0, 7.08 ,8500
Peugeot,2008,4x4,1199,60,28276,0, 1.74 ,13995
Volkswagen,New Beetle,Cabriolet,1595,75,147673,0, 14.67 ,5950
Honda,Jazz,Monovolume/Camionnette,1339,73,97535,0, 4.58 ,7190
Opel,Meriva,Monovolume/Camionnette,1598,77,44000,0, 9.92 ,5500
Audi,A6,Berline,1968,121,65482,0, 4.91 ,20995
Volvo,V40,Berline,1560,84,63580,0, 4.91 ,11980
Rover,P6 3500S MK I '72,Roadster,3500,135,93001,0, 45.86 ,2750
Mercedes-Benz,E 220,Break,2143,125,20172,0, 1.66 ,33850
Smart,fortwo,Berline,799,40,49000,0, 4.91 ,6990
Citroen,C4,Berline,1560,73,14698,0, 1.25 ,15990
Kia,Sportage,4x4,1685,85,129000,0, 6.42 ,11490
Ford,S-Max,Monovolume/Camionnette,1753,92,116000,0, 11.34 ,8750
MINI,Cooper D,Compacte,1560,80,137832,0, 8.08 ,8450
Suzuki,Swift,Compacte,1242,69,9000,0, 1.24 ,10590
Opel,Astra,Break,1686,81,72648,0, 4.67 ,11850
Opel,Astra,Berline,1686,81,105000,0, 6.58 ,8999
Opel,Astra,Berline,1559,81,31000,0, 1.41 ,18450
Mercedes-Benz,C 220,Break,2148,120,198000,0, 7.83 ,11250
Audi,A4,Cabriolet,2393,120,128770,0, 15.25 ,6900
Land Rover,Range Rover Sport,4x4,2720,140,246000,0, 10.75 ,12500
Audi,A1,Berline,999,70,15000,0, 0.50 ,18800
Peugeot,308,Compacte,1560,85,68124,0, 3.83 ,13300
Renault,KJ1 Torpedo,Cabriolet,951,11,110,0, (5.18),16250
Mercedes-Benz,B 180,Monovolume/Camionnette,1461,80,38000,0, 2.50 ,21500
Ford,Mustang,Cabriolet,4700,149,30295,0, 51.11 ,39850
Volkswagen,Passat,Berline,1968,110,66384,0, 2.91 ,21950
Audi,A3,Berline,1395,90,42000,0, 4.33 ,18500
Seat,Leon,Berline,1598,77,53000,0, 3.99 ,9450
Skoda,Superb,Break,1968,110,17500,0, 0.91 ,31900
Renault,Clio,Break,1461,63,99000,0, 7.83 ,7900
Opel,Zafira Tourer,Monovolume/Camionnette,1598,100,32000,0, 4.25 ,13950
Volkswagen,A3,Berline,1197,77,27000,0, 3.33 ,13490
Toyota,Prius+,Monovolume/Camionnette,1798,73,77000,0, 2.99 ,18990
Bentley,Continental,Cabriolet,5998,463,21000,0, 7.33 ,179900
Ford,Focus,Berline,998,92,6130,0, 1.08 ,17490
Citroen,C5,Break,1560,80,146500,0, 8.50 ,9999
Volkswagen,Golf,Berline,1598,77,86009,0, 4.33 ,13490
Hyundai,ix35,4x4,1685,85,73212,0, 4.41 ,12990
Volkswagen,Caddy,Monovolume/Camionnette,1896,77,120000,0, 8.16 ,10950
Audi,A4,Break,1968,105,100000,0, 4.67 ,20990
Volkswagen,Touran,Monovolume/Camionnette,1197,81,7850,0, 0.82 ,21950
Volvo,V40,Berline,1969,88,6500,0, 1.33 ,19990
Mercedes-Benz,CLA 200,Berline,1796,100,89204,0, 3.67 ,24490
Citroen,C4 Picasso,Monovolume/Camionnette,1560,82,125086,0, 4.69 ,7555
Land Rover,Range Rover Evoque,4x4,2179,140,7254,0, 2.67 ,35480
Opel,Corsa,Berline,1229,51,16600,0, 1.41 ,9999
BMW,X5,4x4,2993,180,140000,0, 4.83 ,26900
Toyota,RAV4,4x4,1995,105,42000,0, 1.74 ,22999
Peugeot,2008,4x4,1560,85,11370,0, 1.31 ,16600
Volkswagen,Caddy,Monovolume/Camionnette,1968,75,27580,0, 2.25 ,18450
Peugeot,Partner,Monovolume/Camionnette,1560,68,80000,0, 4.41 ,10990
Mercedes-Benz,E 200,Berline,2143,100,82000,0, 4.25 ,18900
Volkswagen,CRAFTER 35 FOURGON MWB HR DSL,Van,1968,100,41318,0, 2.16 ,23500
Peugeot,308,Berline,1560,85,8981,0, 0.74 ,20425
BMW,316 Limousine,Berline,1796,85,120000,0, 13.25 ,6950
Fiat,Punto,Berline,1248,62,135250,0, 5.83 ,4950
Renault,Trafic,Van,1995,84,110000,0, 10.59 ,10900
Maserati,Coupe,Coupe,4244,287,32887,0, 12.75 ,48900
BMW,116 5-TÍ_rer,Berline,1496,85,87000,0, 2.41 ,13990
Mercedes-Benz,GLE 250,4x4,2143,150,16800,0, 1.16 ,54865
Volvo,C30,Berline,1560,80,88000,0, 8.33 ,7990
Peugeot,207,Break,1560,66,153603,0, 9.75 ,5950
Ford,Fiesta,Berline,1388,58,130000,0, 14.59 ,2990
Ford,S-Max,Monovolume/Camionnette,1560,85,98200,0, 6.67 ,12950
Opel,Corsa,Berline,999,66,16392,0, 1.24 ,10949
Citroen,Grand C4 Picasso,Monovolume/Camionnette,1560,85,333,0, 0.73 ,23035
Volkswagen,Golf VII,Berline,1197,63,7500,0, 1.16 ,15990
Mazda,2,Berline,1388,59,130000,0, 14.42 ,2500
Audi,A6,Break,1968,110,66500,0, 2.50 ,29995
Toyota,Fortuner,4x4,2393,109,101,0, 0.08 ,39809
Volvo,V60,Break,1969,133,72750,0, 2.50 ,22950
Mercedes-Benz,C 220,Berline,2143,125,28350,0, 0.99 ,31495
Kia,Picanto,Berline,1120,55,52300,0, 7.00 ,3890
Audi,A3,Cabriolet,1896,77,171211,0, 8.33 ,6990
Opel,Insignia,Break,1956,118,172000,0, 6.92 ,7950
Peugeot,3008,4x4,1560,82,91650,0, 4.99 ,12900
BMW,320 Cabrio,Cabriolet,1995,120,137000,0, 10.42 ,12995
Volkswagen,Golf VII,Berline,1395,90,36000,0, 2.67 ,16900
Mitsubishi,Outlander,4x4,1968,103,166191,0, 9.58 ,6980
Toyota,Avensis,Break,1998,91,77838,0, 5.33 ,14000
Fiat,Panda,Berline,1108,40,90000,0, 7.16 ,3990
MINI,One Countryman,Break,1598,72,22885,0, 3.74 ,19990
Mercedes-Benz,B 180,Monovolume/Camionnette,1461,80,25300,0, 2.50 ,22445
Volvo,S80,Berline,1969,133,17000,0, 1.50 ,27895
