brandName,modelName,bodyStyleName,cylinderCapacityValue,enginePowerValue,mileageValue,accident,age,sellingPrice
Audi,TT,Coupe,1968,135,15000,0, 0.99 ,34900
Volkswagen,Passat,Break,1598,77,90000,0, 5.75 ,2997
Nissan,Qashqai,4x4,1995,110,225000,0, 8.83 ,6200
Mercedes-Benz,C 200,Break,2143,100,110317,0, 4.67 ,15990
Chevrolet,Sonstige,Cabriolet,6276,354,24000,0, 51.19 ,62500
Audi,A4,Break,1968,110,28200,0, 1.66 ,32900
Volvo,XC60,4x4,1969,133,89000,0, 3.50 ,23490
Volkswagen,Passat,Berline,1598,88,13200,0, 0.91 ,27800
Porsche,911,Coupe,3387,221,107500,0, 20.09 ,19950
Volvo,XC60,4x4,1969,133,63000,0, 3.50 ,25950
Mercedes-Benz,E 220,Berline,2148,100,183000,0, 12.08 ,7995
Audi,A5,Berline,1968,140,12500,0, 0.82 ,47890
Volkswagen,Caddy,Monovolume/Camionnette,1390,59,69000,0, 8.08 ,6750
Audi,A3,Berline,1598,77,77045,0, 3.58 ,14990
Ford,Kuga,4x4,1997,100,104901,0, 8.25 ,10900
Ford,Fiesta,Berline,998,74,56000,0, 4.25 ,8950
Audi,Q5,4x4,1968,100,129000,0, 4.33 ,20990
Ford,Focus,Break,1560,66,74500,0, 6.75 ,6800
Peugeot,Partner,Van,1560,55,88349,0, 5.83 ,6250
BMW,X4,4x4,1995,120,46000,0, 2.67 ,37950
Mercedes-Benz,GLA 200,4x4,2143,100,24900,0, 3.16 ,23500
Mercedes-Benz,E 200,Coupe,1991,135,4077,0, 0.66 ,51750
BMW,M3 Coupe,Coupe,3246,252,30300,0, 15.25 ,44900
Citroen,C4 Cactus,4x4,1199,60,15100,0, 2.52 ,12000
Mercedes-Benz,Vito,Van,2143,120,30000,0, 1.58 ,21400
Land Rover,Range Rover,4x4,4367,250,63000,0, 4.41 ,79990
Seat,Leon,Berline,1390,63,87000,0, 6.33 ,7800
Skoda,Octavia,Break,1968,110,15000,0, 0.41 ,32900
Mercedes-Benz,CLASSE CL COUPE (C216),Coupe,5461,285,95000,0, 8.00 ,27500
Alfa Romeo,Spider,Cabriolet,1747,107,109500,0, 18.84 ,6850
Peugeot,308,Compacte,1560,85,52425,0, 3.41 ,12583
Renault,Twingo,Compacte,1461,47,81247,0, 9.16 ,5500
Nissan,X-Trail,4x4,2184,100,300000,0, 12.42 ,2500
Peugeot,Partner Tepee,Break,1560,73,7300,0, 0.99 ,14990
Citroen,DS5,Berline,1997,120,64596,0, 4.80 ,17609
Opel,Insignia,Berline,1600,100,26000,0, 1.41 ,19950
Renault,Megane,Compacte,1461,81,39503,0, 2.50 ,8800
Ford,S-Max,Monovolume/Camionnette,1753,92,123000,0, 10.50 ,6950
Mercedes-Benz,CLA 180,Berline,1461,80,94000,0, 3.16 ,21500
