takes,84
hide,84
close,84
excellent,84
aaron,84
issue,84
roderigo,84
gainst,84
plain,83
eat,83
dull,83
bears,83
reads,83
touchstone,83
gates,83
fare,83
agamemnon,82
offence,82
besides,82
judgment,82
behind,82
pretty,82
dauphin,81
fluellen,81
laid,81
honourable,81
slain,81
children,81
widow,80
polixenes,80
hadst,80
grumio,80
officer,80
paper,80
move,80
going,80
shake,80
health,80
sings,80
went,80
among,79
bless,79
jaques,79
edm,79
corn,79
pale,79
servants,79
mighty,79
danger,79
force,79
mothers,79
grant,79
subject,78
favour,78
launce,78
ont,78
westmoreland,78
lewis,78
worst,78
knight,78
faults,78
slender,78
ariel,78
stephano,78
fashion,78
lack,77
wast,77
golden,77
witch,77
stood,77
respect,77
sorry,77
writ,77
diomedes,77
trumpets,77
alarum,77
2,77
street,77
paulina,76
quarrel,76
dangerous,76
breast,76
weak,76
drum,76
belarius,76
honours,76
whether,75
signior,75
title,75
confess,75
calls,75
valour,75
mortal,75
hermia,75
choose,75
troy,75
chance,75
begin,75
autolycus,75
hamlet,75
buy,74
tot,74
plague,74
count,74
kept,74
hair,74
camp,74
banishd,74
wisdom,74
deliver,74
beard,74
worship,74
tamora,74
kingdom,73
charmian,73
ghost,73
treason,73
harm,73
gremio,73
teach,73
glory,73
anything,73
order,73
lorenzo,73
case,73
wheres,73
understand,73
reg,73
lion,72
along,72
mens,72
throw,72
receive,72
lookd,72
hubert,72
measure,72
scorn,71
promise,71
green,71
prison,71
sirrah,71
thither,71
feel,71
consent,71
feed,71
low,70
shape,70
dies,70
cast,70
exeter,70
match,70
entreat,70
venice,70
jest,70
curse,70
least,70
taen,70
fort,70
pucelle,70
aeneas,69
tent,69
loving,69
int,69
turnd,69
greater,69
emperor,69
lend,69
small,69
try,69
walls,69
birth,69
wood,69
womans,69
stop,69
motion,68
eer,68
fresh,68
poison,68
quick,68
won,68
awhile,68
held,68
harry,67
army,67
troth,67
quite,67
brief,67
year,67
wild,67
whos,67
dumain,67
guiderius,67
learn,67
ben,66
pains,66
caliban,66
beg,66
forward,66
